# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	66286
#@/user_id	71310d17-cb9e-48fd-97c9-73e0aea664c1
an zhuang bao 	安裝包	c=8 d=1.77185 t=66286
an zhuang cheng xu 	安裝程序	c=3 d=1.36742e-05 t=66286
an zhuang gong cheng you xian gong si 	安裝工程有限公司	c=5 d=3.17009e-39 t=66286
an zhuang le 	安裝了	c=3 d=2.2003 t=66286
an zhuang qi 	安装器	c=6 d=1.72381 t=66286
an zhuang qi dong 	安裝啓動	c=1 d=9.43048e-17 t=66286
an zhuang wan cheng 	安裝完成	c=1 d=1.41295e-08 t=66286
an zhuang yu suan yuan 	安裝預算員	c=5 d=2.20431e-39 t=66286
an zhuang zu jian 	安裝組件	c=1 d=4.09025e-13 t=66286
an zhuo 	安卓	c=20 d=4.55332 t=66286
ao 	凹	c=2 d=1.26324e-65 t=66286
ao 	嗷	c=2 d=8.81198e-66 t=66286
ao 	奧	c=1 d=3.69912e-07 t=66286
ao 	熬	c=5 d=2.45986 t=66286
ao 	襖	c=3 d=1.55084 t=66286
ao dao 	熬到	c=1 d=0.99005 t=66286
ao men 	澳門	c=1 d=1.06676e-25 t=66286
ao ye 	熬夜	c=6 d=1.93985 t=66286
b e f o r e 	before	c=1 d=0.000309671 t=66286
b e t a 	beta	c=1 d=0.995012 t=66286
b i l i b i l i 	bilibili	c=3 d=2.64956 t=66286
b i o s 	bios	c=2 d=1.16428e-66 t=66286
b i t l o c k e r 	bitlocker	c=1 d=0.965605 t=66286
b l o c k e r 	blocker	c=4 d=1.09869e-19 t=66286
b o o t l o a d e r 	bootloader	c=5 d=3.06287 t=66286
b r a v e 	brave	c=3 d=7.67444e-17 t=66286
b r a v e b r o w s e r 	bravebrowser	c=1 d=9.76639e-17 t=66286
b r e e z y 	breezy	c=2 d=0.965605 t=66286
b r o w s e r 	Browser	c=2 d=0.99005 t=66286
ba 	八	c=4 d=1.65543 t=66286
ba 	吧	c=266 d=13.2357 t=66286
ba 	罷	c=87 d=2.29988 t=66286
ba bao zhou 	八寶粥	c=1 d=9.09992e-09 t=66286
ba bei zi 	八輩子	c=1 d=7.01844e-71 t=66286
ba dian 	八點	c=4 d=0.980199 t=66286
ba dian ban 	八點半	c=1 d=8.45794e-60 t=66286
ba fang 	八方	c=1 d=0.000236397 t=66286
ba ge 	八個	c=1 d=0.0699482 t=66286
ba ge zi 	八個字	c=1 d=0.790571 t=66286
ba gong 	罷工	c=1 d=7.41979e-45 t=66286
ba gong le 	罷工了	c=1 d=1.12047e-44 t=66286
ba jiong 	八炯	c=3 d=1.94649 t=66286
ba jiu 	八九	c=4 d=3.85709e-42 t=66286
ba jiu dian 	八九點	c=1 d=0.980199 t=66286
ba kuai qian 	八塊錢	c=1 d=2.32917e-06 t=66286
ba le 	罷了	c=13 d=3.38382 t=66286
ba mao qi 	罷毛七	c=1 d=7.38505e-23 t=66286
ba ni 	把你	c=10 d=2.76842 t=66286
ba ni shuo di 	把你說的	c=1 d=0.0112769 t=66286
ba ni ye 	把你也	c=1 d=1.14015e-43 t=66286
ba nin 	把您	c=1 d=0.527292 t=66286
ba ping fang 	八平方	c=1 d=9.49874e-43 t=66286
ba ren 	把人	c=1 d=1.12493e-32 t=66286
ba ta 	把他	c=4 d=1.5352 t=66286
ba ta 	把它	c=1 d=4.71052e-27 t=66286
ba wang bie ji 	霸王別姬	c=1 d=0.995012 t=66286
ba wo 	把我	c=15 d=2.55639 t=66286
ba xi 	巴西	c=1 d=0.357007 t=66286
ba xia 	拔下	c=1 d=7.22973e-67 t=66286
ba xiang guan xin xi guan fang gong gao xia fang cheng xian chu yi ge 	吧相關信息官方公告下放呈現出一個	c=1 d=0.0424257 t=66286
ba ya 	拔牙	c=7 d=1.595e-06 t=66286
ba yue 	八月	c=3 d=0.190139 t=66286
ba yue yi 	八月一	c=2 d=3.23398e-34 t=66286
ba zan 	把咱	c=10 d=2.7517 t=66286
ba zhei ge 	把這個	c=1 d=0.546074 t=66286
ba zi ji 	把自己	c=1 d=4.88178e-06 t=66286
bai 	擺	c=1 d=1.22244e-10 t=66286
bai 	敗	c=1 d=0.683861 t=66286
bai 	白	c=4 d=0.0082753 t=66286
bai bai 	拜拜	c=1 d=2.81214e-17 t=66286
bai ban 	白板	c=1 d=1.01615e-12 t=66286
bai ban 	白版	c=1 d=0.913931 t=66286
bai bei 	百倍	c=1 d=8.31953e-13 t=66286
bai cao ku 	百草枯	c=1 d=2.07685e-10 t=66286
bai dao 	擺到	c=1 d=1.24905e-28 t=66286
bai du 	百度	c=5 d=0.960789 t=66286
bai du 	百毒	c=3 d=8.27315e-05 t=66286
bai du wang pan 	百度网盘	c=3 d=7.04932e-22 t=66286
bai fa ren 	白髮人	c=1 d=0.701173 t=66286
bai fen bi 	百分比	c=2 d=1.38666 t=66286
bai fen zhi 	百分之	c=2 d=0.814647 t=66286
bai fen zhi yi 	百分之一	c=1 d=4.33123e-10 t=66286
bai hei 	白黑	c=1 d=0.927743 t=66286
bai hua qian 	白花錢	c=1 d=6.57606e-11 t=66286
bai juan 	白卷	c=1 d=1.17411e-06 t=66286
bai ke 	百科	c=1 d=0.882497 t=66286
bai kou 	百口	c=1 d=0.132655 t=66286
bai lan 	摆烂	c=1 d=4.13417e-21 t=66286
bai le 	擺了	c=1 d=8.13902e-49 t=66286
bai ma 	白馬	c=1 d=3.96278e-11 t=66286
bai mao 	白毛	c=1 d=1.54865e-28 t=66286
bai miao 	白描	c=1 d=2.8131e-21 t=66286
bai ming dan 	白名单	c=2 d=0.185013 t=66286
bai piao 	白嫖	c=0 d=5.97075e-23 t=66286
bai piao de 	白嫖的	c=1 d=6.00068e-22 t=66286
bai ping 	白屏	c=5 d=0.128735 t=66286
bai quan 	敗犬	c=1 d=0.0031042 t=66286
bai ri meng 	白日夢	c=4 d=1.73438 t=66286
bai se 	白色	c=3 d=0.955997 t=66286
bai shi 	拜師	c=1 d=4.0169e-06 t=66286
