# Rime user dictionary
#@/db_name	nihongo-r
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	214
#@/user_id	71310d17-cb9e-48fd-97c9-73e0aea664c1
usagi 	兔	c=1 d=0.767206 t=214
utsuri 	うつり	c=1 d=0.65377 t=214
wata 	わた	c=1 d=0.995012 t=214
watashi ni 	わたしに	c=1 d=0.88692 t=214
watashi no 	私の	c=1 d=0.597501 t=214
watashi o 	私お	c=1 d=0.806541 t=214
ya n dere 	ヤンデレ	c=3 d=2.86923 t=214
you na 	ような	c=1 d=1 t=214
yu kuri 	ゆくり	c=1 d=1 t=214
yubisaki 	指先	c=1 d=0.463013 t=214
yume 	ゆめ	c=2 d=1.97521 t=214
yuuhei 	幽閉	c=1 d=0.67032 t=214
yuusha 	勇者	c=1 d=0.814647 t=214
zako 	雑魚	c=1 d=1 t=214
